Myotis hermani
Myotis siligorensis
Hodgson's bat
Myotis formosus
Horsfield's bat
Myotis horsfieldii
Ikonnikov's bat
Myotis ikonnikovi
Indiana bat
Myotis sodalis
Myotis indochinensis
Insular myotis
Myotis insularum
Izecksohn's myotis
Myotis izecksohni
Myotis longipes
Keen's myotis
Myotis keenii
Kei myotis
Myotis stalkeri
Myotis dieteri
Large myotis
Myotis chinensis
Large-footed bat
Myotis adversus
Large-footed myotis
Myotis macropus
LaVal's myotis
Myotis lavali
Myotis hasseltii
Myotis blythii
Myotis lucifugus
Long-eared myotis
Myotis evotis
Long-fingered bat
Myotis capaccinii
Long-legged myotis
Myotis volans
Long-tailed myotis
Myotis longicaudatus
Long-toed myotis
Myotis secundus
Myotis goudoti
Myotis federatus
Maluku myotis
Myotis moluccarum
Myotis sicarius
Montane myotis
Myotis oxyotus
Morris's bat
Myotis morrisi
Natterer's bat
Myotis nattereri
Nepal myotis
Myotis nipalensis
Nimba myotis
Myotis nimbaensis
Myotis septentrionalis
Orange-fingered myotis
Myotis rufopictus
Myotis macrotarsus
Peninsular myotis
Myotis peninsularis
Peters's myotis
Myotis ater
Peyton's myotis
Myotis peytoni
Pond bat
Myotis dasycneme
Red myotis
Myotis ruber
Reddish myotis
Myotis soror
Reddish-black myotis
Myotis rufoniger
Myotis pilosus
Ridley's bat
Myotis ridleyi
Riparian myotis
Myotis riparius
Myotis bocagii
Schaub's myotis
Myotis schaubi
Schwartz's myotis
Myotis martiniquensis
Myotis scotti
Siberian bat
Myotis sibiricus
Silver-tipped myotis
Myotis albescens
Myotis oreias
Southeastern myotis
Myotis austroriparius
Southern myotis
Myotis aelleni
Southwestern myotis
Myotis auriculus
Szechwan myotis
Myotis altarium
Thick-thumbed myotis
Myotis rosseti
Velvety myotis
Myotis simus
Myotis muricola
Weber's myotis
Myotis weberi
Welwitsch's bat
Myotis welwitschii
Myotis ciliolabrum
Whiskered bat
Myotis mystacinus
Myotis yanbarensis
Yellowish myotis
Myotis levis
Yuma myotis
Myotis yumanensis
Submyotodon latirostris
Antrozous pallidus
Bronze sprite
Arielulus circumdatus
Coppery sprite
Arielulus cuprosus
Necklace sprite
Arielulus torquatus
Social sprite
Arielulus societatis
Baeodon alleni
Baeodon gracilis
Arabian barbastelle
Barbastella leucomelas
Beijing barbastelle
Barbastella beijingensis
Eastern barbastelle
Barbastella darjelingensis
Western barbastelle
Barbastella barbastellus
Bauerus dubiaquercus
Chalinolobus morio
Chalinolobus gouldii
Chalinolobus nigrogriseus
Chalinolobus dwyeri
Chalinolobus picatus
Chalinolobus neocaledonicus
Chalinolobus tuberculatus
Corynorhinus mexicanus
Corynorhinus rafinesquii
Corynorhinus townsendii
Anatolian serotine
Eptesicus anatolicus
Eptesicus furinalis
Eptesicus fuscus
Bobrinski's serotine
Eptesicus bobrinskoi
Botta's serotine
Eptesicus bottae
Eptesicus brasiliensis
Chiriquinan serotine
Eptesicus chiriquinus
Diminutive serotine
Eptesicus diminutus
Eptesicus gobiensis
Eptesicus guadeloupensis
Harmless serotine
Eptesicus innoxius
Horn-skinned bat
Eptesicus floweri
Eptesicus japonensis
Kobayashi's bat
Eptesicus kobayashii
Lagos serotine
Eptesicus platyops
Eptesicus andinus
Eptesicus hottentotus
Meridional serotine
Eptesicus isabellinus
Northern bat
Eptesicus nilssonii
Ognev's serotine
Eptesicus ognevi
Oriental serotine
Eptesicus pachyomus
Serotine bat
Eptesicus serotinus
Sombre bat
Eptesicus tatei
Eptesicus dimissus
Taddei's serotine
Eptesicus taddeii
Thick-eared bat
Eptesicus pachyotis
Euderma maculatum
Falsistrellus tasmaniensis
Falsistrellus mackenziei
Abo bat
Glauconycteris poensis
Glauconycteris humeralis
Glauconycteris alboguttata
Beatrix's bat
Glauconycteris beatrix
Bibundi bat
Glauconycteris egeria
Curry's bat
Glauconycteris curryae
Glauconycteris gleni
Glauconycteris kenyacola
Glauconycteris machadoi
Glauconycteris superba
Silvered bat
Glauconycteris argentata
Glauconycteris variegata
Glischropus tylopus
Glischropus bucephalus
Glischropus javanus
Blanford's bat
Hesperoptenus blanfordi
Hesperoptenus doriae
Hesperoptenus gaskelli
Hesperoptenus tomesi
Tickell's bat
Hesperoptenus tickelli
Histiotus macrotus
Histiotus humboldti
Histiotus montanus
Histiotus magellanicus
Histiotus alienus
Histiotus laephotis
Histiotus velatus
Alashanian pipistrelle
Pipistrellus alaschanicus
Anthony's pipistrelle
Hypsugo anthonyi
Arabian pipistrelle
Pipistrellus arabicus
Big-eared pipistrelle
Hypsugo macrotis
Broad-headed serotine
Pipistrellus crassulus
Brown pipistrelle
Pipistrellus imbricatus
Burma pipistrelle
Hypsugo lophurus
Cadorna's pipistrelle
Pipistrellus cadornae
Chinese pipistrelle
Hypsugo pulveratus
Chocolate pipistrelle
Falsistrellus affinis
Desert pipistrelle
Hypsugo ariel
Joffre's bat
Hypsugo joffrei
Kirindy serotine
Hypsugo bemainty
Long-toothed pipistrelle
Hypsugo dolichodon
Mouselike pipistrelle
Pipistrellus musciculus
Savi's pipistrelle
Hypsugo savii
Socotran pipistrelle
Hypsugo lanzai
Vordermann's pipistrelle
Hypsugo vordermanni
Ia io
Idionycteris phyllotis
Laephotis angolensis
Laephotis botswanae
Laephotis wintoni
Laephotis namibensis
Lasionycteris noctivagans
Lasiurus egregius
Lasiurus varius
Lasiurus insularis
Lasiurus borealis
Lasiurus atratus
Hairy-tailed bat
Lasiurus ebenus
Hoary bat
Lasiurus cinereus
Lasiurus degelidus
Lasiurus minor
Lasiurus intermedius
Lasiurus pfeifferi
Lasiurus salinae
Seminole bat
Lasiurus seminolus
Lasiurus blossevillii
Lasiurus ega
Tacarcuna bat
Lasiurus castaneus
Lasiurus xanthinus
Mimetillus moloneyi
Banana serotine
Neoromicia nana
Cape serotine
Neoromicia capensis
Dark-brown serotine
Neoromicia brunnea
Heller's serotine
Neoromicia helios
Neoromicia isabella
Isalo serotine
Neoromicia malagasyensis
Malagasy serotine
Neoromicia matroka
Neoromicia melckorum
Rendall's serotine
Neoromicia rendalli
Roberts's serotine
Neoromicia robertsi
Rosevear's serotine
Neoromicia roseveari
Somali serotine
Neoromicia somalica
Tiny serotine
Neoromicia guineensis
White-winged serotine
Neoromicia tenuipinnis
Zulu serotine
Neoromicia zuluensis
Azores noctule
Nyctalus azoreum
Birdlike noctule
Nyctalus aviator
Chinese noctule
Nyctalus plancyi
Common noctule
Nyctalus noctula
Nyctalus lasiopterus
Japanese noctule
Nyctalus furvus
Lesser noctule
Nyctalus leisleri
Mountain noctule
Nyctalus montanus
Nycticeinops schlieffeni
Nycticeius cubanus
Evening bat
Nycticeius humeralis
Nycticeius aenobarbus
Nyctophilus arnhemensis
Nyctophilus bifax
Nyctophilus gouldi
Nyctophilus holtorum
Nyctophilus geoffroyi
Nyctophilus shirleyae
Nyctophilus nebulosus
Nyctophilus microtis
Nyctophilus daedalus
Nyctophilus walkeri
Nyctophilus microdon
Nyctophilus corbeni
Nyctophilus heran
Nyctophilus sherrini
Nyctophilus major
Otonycteris hemprichii
Otonycteris leucophaea
Pipistrellus hesperus
Perimyotis subflavus
Pharotis imogene
Philetor brachypterus
Aellen's pipistrelle
Pipistrellus inexspectatus
Angulate pipistrelle
Pipistrellus angulatus
Common pipistrelle
Pipistrellus pipistrellus
Pipistrellus permixtus
Dobson's pipistrelle
Pipistrellus grandidieri
Dusky pipistrelle
Pipistrellus hesperidus
Endo's pipistrelle
Pipistrellus endoi
Forest pipistrelle
Pipistrellus adamsi
Pipistrellus collinus
Hanak's pipistrelle
Pipistrellus hanaki
Indian pipistrelle
Pipistrellus coromandra
Pipistrellus abramus
Java pipistrelle
Pipistrellus javanicus
Kelaart's pipistrelle
Pipistrellus ceylonicus
Kuhl's pipistrelle
Pipistrellus kuhlii
Least pipistrelle
Pipistrellus tenuis
Pipistrellus papuanus
Madeira pipistrelle
Pipistrellus maderensis
Minahassa pipistrelle
Pipistrellus minahassae
Pipistrellus aero
Pipistrellus paterculus
Narrow-winged pipistrelle
Pipistrellus stenopterus
Nathusius's pipistrelle
Pipistrellus nathusii
Northern pipistrelle
Pipistrellus westralis
Racey's pipistrelle
Pipistrellus raceyi
Rüppell's bat
Pipistrellus rueppellii
Rusty pipistrelle
Pipistrellus rusticus
Soprano pipistrelle
Pipistrellus pygmaeus
Tiny pipistrelle
Pipistrellus nanulus
Watts's pipistrelle
Pipistrellus wattsi
Plecotus macrobullaris
Plecotus auritus
Plecotus teneriffae
Plecotus christii
Plecotus balensis
Plecotus austriacus
Plecotus homochrous
Plecotus sacrimontis
Plecotus kozlovi
Plecotus kolombatovici
Plecotus ognevi
Plecotus sardus
Plecotus strelkovi
Plecotus taivanus
Plecotus turkmenicus
Plecotus wardi
Rhogeessa bickhami
Rhogeessa tumida
Rhogeessa velilla
Rhogeessa genowaysi
Rhogeessa hussoni
Rhogeessa mira
Rhogeessa parvula
Rhogeessa menchuae
Rhogeessa io
Rhogeessa minutilla
Rhogeessa aeneus
Eptesicus nasutus
Scoteanax rueppellii
Scotoecus hirundo
Scotoecus pallidus
Scotoecus albofuscus
Scotomanes ornatus
Scotophilus dinganii
Scotophilus andrewreborii
Scotophilus viridis
Scotophilus ejetai
Scotophilus heathii
Scotophilus kuhlii
Scotophilus livingstonii
Scotophilus tandrefana
Scotophilus marovaza
Scotophilus nux
Scotophilus nucella
Scotophilus robustus
Scotophilus nigrita
Scotophilus collinus
Scotophilus celebensis
Scotophilus trujilloi
Scotophilus leucogaster
Scotorepens orion
Scotorepens balstoni
Scotorepens greyii
Scotorepens sanborni
Scotozous dormeri
Thainycteris aureocollaris
Tylonycteris pygmaeus
Tylonycteris robustula
Tylonycteris pachypus
Vespadelus troughtoni
Vespadelus pumilus
Vespadelus finlaysoni
Vespadelus baverstocki
Vespadelus darlingtoni
Vespadelus vulturnus
Vespadelus caurinus
Vespadelus regulus
Yellow-lipped bat
