Zapus pacificus
Zapus princeps
Zapus saltator
Zapus trinotatus
Platacanthomys lasiurus
Typhlomys cinereus
Eospalax fontanierii
Eospalax rothschildi
Eospalax smithii
Myospalax aspalax
Myospalax epsilanus
Myospalax myospalax
Myospalax psilurus
Cannomys badius
Rhizomys pruinosus
Rhizomys sinensis
Rhizomys sumatrensis
Tachyoryctes ankoliae
Tachyoryctes annectens
Tachyoryctes audax
Tachyoryctes daemon
Tachyoryctes ibeanus
Tachyoryctes macrocephalus
Tachyoryctes naivashae
Tachyoryctes rex
Tachyoryctes ruandae
Tachyoryctes ruddi
Tachyoryctes spalacinus
Tachyoryctes splendens
Tachyoryctes storeyi
Nannospalax carmeli
Nannospalax ehrenbergi
Nannospalax galili
Nannospalax golani
Nannospalax leucodon
Nannospalax judaei
Nannospalax nehringi
Nannospalax xanthodon
Spalax antiquus
Spalax arenarius
Spalax giganteus
Spalax graecus
Spalax istricus
Spalax microphthalmus
Spalax munzuri
Spalax uralensis
Spalax zemni
Calomyscus bailwardi
Calomyscus baluchi
Calomyscus elburzensis
Calomyscus grandis
Calomyscus hotsoni
Calomyscus mystax
Calomyscus tsolovi
Calomyscus urartensis
Petromyscus barbouri
Petromyscus collinus
Petromyscus monticularis
Petromyscus shortridgei
Delanymys brooksi
Dendromus insignis
Dendromus kahuziensis
Dendromus kivu
Dendromus lachaisei
Dendromus leucostomus
Dendromus lovati
Dendromus melanotis
Dendromus mesomelas
Dendromus messorius
Dendromus mystacalis
Dendromus nyasae
Dendromus nyikae
Dendromus oreas
Dendromus ruppi
Dendromus vernayi
Dendroprionomys rousseloti
Malacothrix typica
Megadendromus nikolausi
Prionomys batesi
Steatomys bocagei
Steatomys caurinus
Steatomys cuppedius
Steatomys jacksoni
Steatomys krebsii
Steatomys opimus
Steatomys parvus
Steatomys pratensis
Mystromys albicaudatus
Beamys hindei
Beamys major
Cricetomys ansorgei
Cricetomys emini
Cricetomys gambianus
Cricetomys kivuensis
Saccostomus campestris
Saccostomus mearnsi
Brachytarsomys albicauda
Brachytarsomys mahajambaensis
Brachytarsomys villosa
Brachyuromys betsileoensis
Brachyuromys ramirohitra
Eliurus antsingy
Eliurus carletoni
Eliurus danieli
Eliurus ellermani
Eliurus grandidieri
Eliurus majori
Eliurus minor
Eliurus myoxinus
Eliurus penicillatus
Eliurus petteri
Eliurus tanala
Eliurus webbi
Gymnuromys roberti
Hypogeomys antimena
Hypogeomys australis
Macrotarsomys bastardi
Macrotarsomys ingens
Macrotarsomys petteri
Monticolomys koopmani
Nesomys audeberti
Nesomys lambertoni
Nesomys narindaensis
Nesomys rufus
Voalavo antsahabensis
Voalavo gymnocaudus
Lophiomys imhausi
Allocricetulus curtatus
Allocricetulus eversmanni
Cansumys canus
Cricetulus barabensis
Cricetulus griseus
Cricetulus lama
Cricetulus longicaudatus
Cricetulus sokolovi
Cricetus cricetus
Mesocricetus auratus
Mesocricetus brandti
Mesocricetus newtoni
Mesocricetus raddei
Nothocricetulus migratorius
Phodopus campbelli
Phodopus roborovski
Phodopus sungorus
Tscherskia triton
Urocricetus alticola
Urocricetus kamensis
Alticola albicaudus
Alticola argentatus
Alticola barakshin
Alticola lemminus
Alticola macrotis
Alticola montosa
Alticola olchonensis
Alticola roylei
Alticola semicanus
Alticola stoliczkanus
Alticola strelzowi
Alticola tuvinicus
Arborimus albipes
Arborimus longicaudus
Arborimus pomo
Arvicola amphibius
Arvicola sapidus
Arvicola scherman
Blanfordimys afghanus
Blanfordimys bucharicus
Blanfordimys juldaschi
Caryomys eva
Caryomys inez
Chionomys gud
Chionomys nivalis
Chionomys roberti
Dicrostonyx exsul
Dicrostonyx groenlandicus
Dicrostonyx hudsonius
Dicrostonyx kilangmiutak
Dicrostonyx nelsoni
Dicrostonyx nunatakensis
Dicrostonyx richardsoni
Dicrostonyx rubricatus
Dicrostonyx torquatus
Dicrostonyx unalascensis
Dicrostonyx vinogradovi
Dinaromys bogdanovi
Ellobius alaicus
Ellobius fuscocapillus
Ellobius lutescens
Ellobius talpinus
Ellobius tancrei
Eolagurus luteus
Eolagurus przewalskii
Eothenomys cachinus
Eothenomys chinensis
Eothenomys custos
Eothenomys melanogaster
Eothenomys miletus
Eothenomys olitor
Eothenomys proditor
Eothenomys wardi
Hyperacrius fertilis
Hyperacrius wynnei
Lagurus lagurus
Lasiopodomys brandtii
Lasiopodomys fuscus
Lasiopodomys mandarinus
Lemmiscus curtatus
Lemmus amurensis
Lemmus lemmus
Lemmus nigripes
Lemmus paulus
Lemmus sibiricus
Lemmus trimucronatus
Microtus agrestis
Microtus anatolicus
Microtus arvalis
Microtus cabrerae
Microtus dogramacii
Microtus elbeyli
Microtus guentheri
Microtus hartingii
Microtus ilaeus
Microtus irani
Microtus kermanensis
Microtus lavernedii
Microtus levis
Microtus lydius
Microtus mystacinus
Microtus obscurus
Microtus paradoxus
Microtus qazvinensis
Microtus rosianus
Microtus schidlovskii
Microtus socialis
Microtus transcaspicus
Microtus clarkei
Microtus evoronensis
Microtus fortis
Microtus gerbii
Microtus kikuchii
Microtus limnophilus
Microtus maximowiczii
Microtus middendorffi
Microtus mongolicus
Microtus montebelli
Microtus mujanensis
Microtus oeconomus
Microtus sachalinensis
Microtus schelkovnikovi
Microtus breweri
Microtus canicaudus
Microtus drummondi
Microtus dukecampbelli
Microtus montanus
Microtus oregoni
Microtus pennsylvanicus
Microtus townsendii
Microtus ochrogaster
Microtus guatemalensis
Microtus oaxacensis
Microtus pinetorum
Microtus quasiater
Microtus gregalis
Microtus bavaricus
Microtus brachycercus
Microtus daghestanicus
Microtus duodecimcostatus
Microtus felteni
Microtus liechtensteini
Microtus lusitanicus
Microtus majori
Microtus multiplex
Microtus nebrodensis
Microtus savii
Microtus subterraneus
Microtus tatricus
Microtus thomasi
incertae sedis
Microtus abbreviatus
Microtus californicus
Microtus chrotorrhinus
Microtus longicaudus
Microtus mexicanus
Microtus miurus
Microtus mogollonensis
Microtus richardsoni
Microtus umbrosus
Microtus xanthognathus
Microtus hyperboreus
Microtus kirgisorum
Microtus nasarovi
Microtus rossiaemeridionalis
Myodes andersoni
Myodes californicus
Myodes centralis
Myodes gapperi
Myodes glareolus
Myodes imaizumii
Myodes regulus
Myodes rex
Myodes rufocanus
